datetime,ln_null_GLM,ln_01_GLM,ln_05_GLM,ln_1_GLM,ln_15_GLM,ln_2_GLM,ln_25_GLM,ln_3_GLM,ln_35_GLM,ln_4_GLM,ln_45_GLM,ln_5_GLM,ln_10_GLM,id
2006-09-17,0.937944087289086,0.970953715442101,0.99368612860925,1.07287543341277,1.08509117084674,1.22723485243752,1.16975662631283,1.10224514437545,1.13010522664904,1.4362571167764,1.10454178812676,1.01385408081987,1.37165287626525,mendota
2006-09-18,0.869458937118176,0.894199214254393,0.910093054837502,1.00282318757034,1.01321801254845,1.14572435428297,1.08106206063015,1.01476411908414,1.03894316228526,1.32601977763488,1.02852828948422,0.937860733536477,1.25388822066127,mendota
2006-09-19,0.733108426977947,0.757336565833154,0.610815417251897,0.700796250891631,0.843512282011192,0.866684006718543,0.920867236641406,0.839507967031625,0.887627482014239,0.759847911070647,0.876041940393637,0.803872412125503,1.11323095313777,mendota
2006-09-20,2.68449948979001,2.79809510237604,2.30250219232543,2.72166211188213,3.75124961516926,3.22729970570728,3.45275346647112,3.19830436772576,3.41457920120604,2.89339548612212,3.30580040531344,2.98661929286369,4.37754200976091,mendota
2006-09-21,1.52519920593096,1.61505695387393,1.34769440744637,1.60049638487902,2.2315061449999,1.94801637074685,2.03813617037226,1.90023569623042,1.99731708868812,1.74496505967797,4.25345506057408,1.7301800688209,2.64152314087824,mendota
2006-09-22,0.3423362489697,0.359527452363417,0.312241878444469,0.372914459727125,0.51184983127659,0.460837587734982,0.469207573351787,0.44116554995708,0.464109173108319,0.412327811268747,0.978819950845613,0.396219457885744,0.819848167120567,mendota
2006-09-23,2.50926801957202,2.57853341333924,2.40589026779177,2.86979860203303,3.96981243056691,3.57243010348455,3.52254391979437,3.39994036129799,3.64709424816667,3.2228299538101,7.29113262012432,3.1175575186275,4.92585564158101,mendota
2006-09-24,0.529261974858797,0.549341146524535,0.516631623100508,0.623209760665777,0.85119604548324,0.771388033148363,0.756510596094489,0.735952416081799,0.790322627095473,0.696190804558879,1.56097619745355,0.667293600430899,1.07383010366949,mendota
2006-09-25,0.862795270224656,0.949846624034809,0.86714170845692,1.11129031510248,1.49656751901115,1.37443659156313,1.33596101383057,1.30781609811402,2.16109014352521,1.25338992361927,2.67693661042315,1.18571368232722,2.5250547730545,mendota
2006-09-26,1.17270208004765,1.26661757485532,1.1738535769771,1.52247016302054,2.00121882382511,1.87557788898025,1.80802828557253,1.76769219152004,2.93709223297389,1.72206241768242,3.60657201783103,1.61653807886505,3.45923216842286,mendota
2006-09-27,0.359684765243479,0.399875653012854,0.38316589399953,0.490220730408527,0.628119059984135,0.605062814125698,0.567108186120955,0.565479919717027,0.934235254211138,0.551491753214065,1.14519674497751,0.510510083289483,1.11063038678969,mendota
2006-09-28,0.506471350601091,1.03154821359361,1.02955356358217,1.38880350546957,1.72450393098049,1.7475274796651,1.59067833711948,1.6091660574288,2.67393848155499,1.41350063778443,3.24958079967225,1.17310230364795,3.24942677882335,mendota
2006-09-29,0.281323102391616,0.504547330214468,0.627043300675673,0.800532016111269,1.06628414657559,1.08637247675001,0.990173810996778,0.964708092832708,1.64803037159469,0.884089101621293,1.96200820277562,0.71103515416034,2.06176964486061,mendota
2006-09-30,0.262780684614607,0.596487193493564,0.731559337989943,0.975897571048565,1.33151418619838,1.38767132059549,1.1887781110384,1.23782623919642,2.0085102471419,1.13077699600578,2.34333880826851,0.893102705856206,2.73477551516101,mendota
2006-10-01,0.306961272990414,0.687351225004795,0.847254846966984,1.15343356018101,1.56919779948847,1.64414858539858,1.38488398382019,1.46492791063832,2.37543074083498,1.36010391930107,2.71989871096069,1.08199789818308,3.26344231212391,mendota
2006-10-02,0.261214460237443,0.387369442765477,0.548843368229598,0.671290287936609,0.791905587206833,0.806795355097577,0.696845216145707,0.736127032639253,1.19037687973643,0.771976122344021,1.37260301800479,0.624425951127229,1.61100528689213,mendota
2006-10-03,0.498122919552723,1.30797011425361,1.20915049879834,1.44434116384239,1.44261412572673,1.65691276021588,1.70303689437956,1.54967189325402,2.10738909784729,1.69099056877472,2.53876696831419,1.44930818443462,3.53501280320092,mendota
2006-10-04,0.36377752297101,0.578520693973383,0.55062492034444,0.653256575566482,0.62476436460355,0.674388282829854,0.687418102019701,0.612989593871094,0.85750834612574,0.709234344905442,1.012355741946,0.632607726883518,1.27332974770939,mendota
2006-10-05,0.504596936029569,1.26110006783855,1.46357511711281,1.95168142070607,2.1199443875148,1.80688086868642,2.01959121800216,2.00570154502765,2.83186876304453,2.02943119212132,3.56808866381199,1.47452544881751,4.73388638836375,mendota
